Player,Team,G,MP,TS%,MPG
Lonnie Walker IV,SAS,70.0,1612.0,0.512,23.02857142857143
Lonzo Ball,CHI,35.0,1212.0,0.575,34.628571428571426
Lou Williams,ATL,56.0,799.0,0.5,14.267857142857142
Louis King,SAC,10.0,104.0,0.438,10.4
Luguentz Dort,OKC,51.0,1665.0,0.541,32.64705882352941
Luka Dončić,DAL,65.0,2301.0,0.571,35.4
Luka Garza,DET,32.0,389.0,0.535,12.15625
Luke Kennard,LAC,70.0,1919.0,0.619,27.414285714285715
Luke Kornet,3TM,15.0,103.0,0.506,6.866666666666666
M.J. Walker,PHO,2.0,8.0,0.0,4.0
Mac McClung,2TM,2.0,25.0,0.621,12.5
Malachi Flynn,TOR,44.0,537.0,0.488,12.204545454545455
Malcolm Brogdon,IND,36.0,1206.0,0.557,33.5
Malcolm Hill,2TM,19.0,212.0,0.619,11.157894736842104
Malik Beasley,MIN,79.0,1976.0,0.544,25.0126582278481
Malik Fitts,2TM,15.0,63.0,0.553,4.2
Malik Monk,LAL,76.0,2139.0,0.597,28.144736842105264
Malik Newman,CLE,1.0,8.0,0.68,8.0
Mamadi Diakite,OKC,13.0,188.0,0.54,14.461538461538462
Marcus Garrett,MIA,12.0,128.0,0.28,10.666666666666666
Marcus Morris,LAC,54.0,1564.0,0.549,28.962962962962962
Marcus Smart,BOS,71.0,2296.0,0.54,32.33802816901409
Markelle Fultz,ORL,18.0,360.0,0.517,20.0
Markieff Morris,MIA,17.0,298.0,0.547,17.529411764705884
Marko Simonovic,CHI,9.0,35.0,0.428,3.888888888888889
Markus Howard,DEN,31.0,176.0,0.567,5.67741935483871
Marquese Chriss,DAL,34.0,346.0,0.518,10.176470588235293
Marvin Bagley III,2TM,48.0,1146.0,0.551,23.875
Mason Jones,LAL,4.0,51.0,0.625,12.75
Mason Plumlee,CHO,73.0,1793.0,0.603,24.561643835616437
Matisse Thybulle,PHI,66.0,1685.0,0.594,25.53030303030303
Matt Mooney,NYK,1.0,2.0,0.0,2.0
Matt Ryan,BOS,1.0,5.0,0.3,5.0
Matt Thomas,CHI,40.0,459.0,0.564,11.475
Maurice Harkless,SAC,47.0,863.0,0.561,18.361702127659573
Max Strus,MIA,68.0,1587.0,0.614,23.33823529411765
Maxi Kleber,DAL,59.0,1450.0,0.537,24.576271186440678
McKinley Wright IV,MIN,5.0,19.0,0.833,3.8
Melvin Frazier,OKC,3.0,120.0,0.313,40.0
Micah Potter,DET,3.0,31.0,0.505,10.333333333333334
Michael Porter Jr.,DEN,9.0,265.0,0.416,29.444444444444443
Mikal Bridges,PHO,82.0,2854.0,0.627,34.80487804878049
Mike Conley,UTA,72.0,2058.0,0.572,28.583333333333332
Mike Muscala,OKC,43.0,592.0,0.63,13.767441860465116
Miles Bridges,CHO,80.0,2837.0,0.593,35.4625
Miles McBride,NYK,40.0,372.0,0.393,9.3
Mitchell Robinson,NYK,72.0,1848.0,0.722,25.666666666666668
Miye Oni,UTA,16.0,44.0,0.265,2.75
Mo Bamba,ORL,71.0,1824.0,0.582,25.690140845070424
Monte Morris,DEN,75.0,2239.0,0.583,29.85333333333333
Montrezl Harrell,2TM,71.0,1641.0,0.68,23.112676056338028
Moritz Wagner,ORL,63.0,960.0,0.623,15.238095238095237
Moses Brown,2TM,40.0,345.0,0.612,8.625
Moses Moody,GSW,52.0,607.0,0.573,11.673076923076923
Moses Wright,2TM,4.0,14.0,0.47,3.5
Mychal Mulder,2TM,17.0,239.0,0.438,14.058823529411764
Myles Powell,PHI,11.0,52.0,0.364,4.7272727272727275
Myles Turner,IND,42.0,1235.0,0.615,29.404761904761905
