,name,height_inches,wingspan_inches,relative
423,Doron Lamb,75.25,78.75,3.5
424,Meyers Leonard,83.75,87.0,3.25
425,Damian Lillard,73.75,79.75,6.0
426,Scott Machado,73.0,76.0,3.0
427,Kendall Marshall,75.25,77.5,2.25
428,Fab Melo,82.75,86.5,3.75
429,Khris Middleton,78.75,82.75,4.0
430,Quincy Miller,80.75,85.25,4.5
431,Darius Miller,78.0,81.0,3.0
432,Tony Mitchell,77.25,82.0,4.75
433,Arnett Moultrie,81.5,86.25,4.75
434,Kevin Murphy,77.0,78.75,1.75
435,Andrew Nicholson,80.5,88.0,7.5
436,Kyle O'Quinn,80.5,88.75,8.25
437,Miles Plumlee,82.5,84.75,2.25
438,Austin Rivers,75.5,79.25,3.75
439,Thomas Robinson,79.75,87.25,7.5
440,Terrence Ross,78.0,79.25,1.25
441,Tomas Satoransky,78.5,79.25,0.75
442,Mike Scott,79.25,82.75,3.5
443,Henry Sims,82.0,88.0,6.0
444,Jared Sullinger,79.75,85.25,5.5
445,Jordan Taylor,73.0,75.0,2.0
446,Jeff Taylor,78.0,78.25,0.25
447,Tyshawn Taylor,74.75,78.25,3.5
448,Marquis Teague,73.0,79.25,6.25
449,Hollis Thompson,78.75,81.5,2.75
450,Dion Waiters,74.5,79.25,4.75
451,Royce White,79.0,84.0,5.0
452,Tony Wroten,76.75,81.0,4.25
453,Tyler Zeller,83.25,84.0,0.75
614,Joe Alexander,79.25,83.5,4.25
615,Darrell Arthur,79.5,82.75,3.25
616,D.J. Augustin,70.0,75.5,5.5
617,Jerryd Bayless,73.75,75.5,1.75
618,Michael Beasley,79.0,84.25,5.25
619,Ramel Bradley,73.25,77.0,3.75
620,Tyrone Brazelton,70.0,73.75,3.75
621,Takais Brown,79.25,82.0,2.75
622,Keith Brumbaugh,79.5,79.25,-0.25
623,Stanley Burrell,73.5,78.25,4.75
624,Brian Butch,81.5,83.25,1.75
625,Jamar Butler,72.25,76.75,4.5
626,Pat Calathes,80.75,81.75,1.0
627,Joe Crawford,75.0,77.75,2.75
628,Chris Daniels,80.25,84.5,4.25
629,Joey Dorsey,78.25,85.75,7.5
630,Marcus Dove,78.75,83.5,4.75
631,Josh Duncan,80.0,83.5,3.5
632,Frank Elegar,79.25,87.25,8.0
633,Patrick Ewing Jr.,78.0,84.25,6.25
634,Gary Forbes,76.5,83.25,6.75
635,Shan Foster,76.0,83.5,7.5
636,J.R. Giddens,76.0,83.25,7.25
637,James Gist,79.0,88.0,9.0
638,Vladimir Golubovic,83.25,86.5,3.25
639,Eric Gordon,74.0,81.0,7.0
640,Kentrell Gransberry,78.75,82.25,3.5
641,Donte Greene,80.25,82.0,1.75
642,Malik Hairston,76.25,81.0,4.75
643,DeVon Hardin,81.5,87.0,5.5
644,Richard Hendrix,78.75,87.0,8.25
645,George Hill,73.25,81.0,7.75
646,Kyle Hines,75.75,85.25,9.5
647,Jiri Hubalek,81.5,82.75,1.25
648,Lester Hudson,71.75,80.75,9.0
649,Othello Hunter,78.5,87.0,8.5
650,Darnell Jackson,79.0,83.25,4.25
651,Shawn James,79.75,89.0,9.25
652,Davon Jefferson,77.25,81.5,4.25
653,Joseph Jones,79.0,84.25,5.25
654,DeAndre Jordan,81.75,90.0,8.25
655,Sasha Kaun,81.0,88.0,7.0
656,Marcelus Kemp,75.0,80.5,5.5
657,Maarty Leunen,79.25,80.0,0.75
658,Longar Longar,81.0,85.25,4.25
659,Brook Lopez,83.25,89.5,6.25
660,Kevin Love,79.75,83.25,3.5
661,Aleks Maric,81.75,85.0,3.25
662,O.J. Mayo,75.25,78.0,2.75
663,James Mays,78.75,85.75,7.0
664,Luc Mbah a Moute,77.75,86.5,8.75
665,JaVale McGee,83.0,90.0,7.0
666,Drew Neitzel,71.75,74.5,2.75
667,DeMarcus Nelson,73.0,82.0,9.0
668,David Padgett,82.25,85.0,2.75
669,Jeremy Pargo,72.5,77.0,4.5
670,Trent Plaisted,81.25,82.5,1.25
671,Quan Prowell,78.75,82.5,3.75
672,Shaun Pruitt,80.25,85.0,4.75
673,Anthony Randolph,81.0,87.0,6.0
674,Charles Rhodes,79.25,83.25,4.0
675,John Riek,82.5,92.75,10.25
676,Brian Roberts,72.25,73.25,1.0
677,Russell Robinson,72.5,80.0,7.5
678,Richard Roby,76.25,81.75,5.5
679,Derrick Rose,73.5,80.0,6.5
680,Sean Singletary,71.0,76.5,5.5
681,Ronald Steele,72.25,76.25,4.0
682,Bryce Taylor,74.75,81.0,6.25
683,Mike Taylor,72.75,79.25,6.5
684,Mark Tyndale,74.75,83.0,8.25
685,Robert Vaden,75.5,80.0,4.5
686,Deron Washington,77.25,81.0,3.75
687,Sonny Weems,76.0,82.0,6.0
688,Russell Westbrook,74.25,79.75,5.5
689,Reggie Williams,75.25,81.25,6.0
690,Quincy Acy,78.5,86.75,8.25
691,Harrison Barnes,79.0,83.25,4.25
692,Will Barton,77.0,81.75,4.75
693,Bradley Beal,75.25,80.0,4.75
694,J'Covan Brown,73.0,77.25,4.25
695,William Buford,76.0,81.5,5.5
696,Jae Crowder,76.75,81.25,4.5
697,Jared Cunningham,75.5,78.5,3.0
698,Anthony Davis,81.25,89.5,8.25
699,Marcus Denmon,74.25,77.0,2.75
700,Andre Drummond,81.75,90.25,8.5
701,Kim English,76.5,78.5,2.0
702,Festus Ezeli,81.75,89.75,8.0
703,Drew Gordon,80.0,83.5,3.5
704,Draymond Green,77.75,85.25,7.5
705,JaMychal Green,80.0,86.25,6.25
706,Maurice Harkless,79.25,84.0,4.75
707,John Henson,81.0,89.0,8.0
708,Tu Holloway,70.5,77.5,7.0
709,Robbie Hummel,79.25,80.5,1.25
710,Bernard James,80.75,87.0,6.25
711,John Jenkins,75.25,80.5,5.25
712,Orlando Johnson,75.75,83.25,7.5
713,Darius Johnson-Odom,73.5,79.0,5.5
714,Terrence Jones,80.25,86.25,6.0
715,Perry Jones,82.25,85.75,3.5
716,Kevin Jones,78.25,85.5,7.25
717,Kris Joseph,78.0,83.0,5.0
718,Michael Kidd-Gilchrist,77.75,84.0,6.25
719,Jeremy Lamb,76.0,83.0,7.0
720,Doron Lamb,75.25,78.75,3.5
721,Meyers Leonard,83.75,87.0,3.25
722,Damian Lillard,73.75,79.75,6.0
723,Scott Machado,73.0,76.0,3.0
724,Kendall Marshall,75.25,77.5,2.25
725,Fab Melo,82.75,86.5,3.75
726,Khris Middleton,78.75,82.75,4.0
727,Quincy Miller,80.75,85.25,4.5
728,Darius Miller,78.0,81.0,3.0
729,Tony Mitchell,77.25,82.0,4.75
730,Arnett Moultrie,81.5,86.25,4.75
731,Kevin Murphy,77.0,78.75,1.75
732,Andrew Nicholson,80.5,88.0,7.5
733,Kyle O'Quinn,80.5,88.75,8.25
734,Miles Plumlee,82.5,84.75,2.25
735,Austin Rivers,75.5,79.25,3.75
736,Thomas Robinson,79.75,87.25,7.5
737,Terrence Ross,78.0,79.25,1.25
738,Tomas Satoransky,78.5,79.25,0.75
739,Mike Scott,79.25,82.75,3.5
740,Henry Sims,82.0,88.0,6.0
741,Jared Sullinger,79.75,85.25,5.5
